,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1209,Citroen C1,2011 (11 reg),3 owners,"97,000 miles",1.0L,68PS,Manual,Petrol,"£1,390",N/A,Hatchback,,N/A
1210,Vauxhall Calibra,1994 (M reg),5 owners,"128,000 miles",2.5L,168BHP,Manual,Petrol,"£3,250",N/A,Coupe,,N/A
1211,Chevrolet Cruze,2014 (14 reg),3 owners,"100,000 miles",1.7L,130PS,Manual,Diesel,"£1,995",N/A,Hatchback,Brooke Cars - See all 5 cars,Dealer locationBasildon
1212,Fiat Bravo,2011 (11 reg),N/A,"84,654 miles",1.4L,140BHP,Manual,Petrol,"£3,000",N/A,Hatchback,Balaam Car Sales Ltd - See all 19 cars,Dealer locationDagenham
1213,KIA Venga,2012 (12 reg),4 owners,"116,900 miles",1.4L,90PS,Manual,Diesel,"£1,995",N/A,MPV,Supreme Cars - See all 22 cars,Dealer locationLuton
1214,Vauxhall Corsa,2008 (08 reg),1 owner,"77,000 miles",1.2L,79BHP,Manual,Petrol,"£1,995",N/A,Hatchback,Drivehub Ltd - See all 20 cars,Dealer locationRochdale
1215,BMW 1 Series,2010 (60 reg),N/A,"72,000 miles",2.0L,143PS,Manual,Petrol,"£1,850",N/A,Hatchback,Car & House - See all 95 cars,Dealer locationWelwyn
1216,Ford Focus,2016 (66 reg),2 owners,"67,149 miles",1.5L,118BHP,Manual,Diesel,"£8,300",N/A,Hatchback,Big Motoring World West Malling - See all 486 cars,Dealer locationAddington
1217,Nissan Qashqai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1218,Hyundai Tucson,2017 (17 reg),4 owners,"49,708 miles",1.6L,130BHP,Manual,Petrol,"£11,200",N/A,SUV,Big Motoring World West Malling - See all 486 cars,Dealer locationAddington
1219,Volkswagen Beetle,2004 (04 reg),N/A,"129,000 miles",1.6L,102PS,Manual,Petrol,"£1,795",N/A,Convertible,Surrey Motor Company - See all 46 cars,Dealer locationCrowthorne
1220,Hyundai Getz,2006 (56 reg),7 owners,"90,929 miles",1.4L,95BHP,Manual,Petrol,£950,N/A,Hatchback,,N/A
1221,BMW 3 Series,2007 (07 reg),Full service history,"147,000 miles",2.0L,177PS,Automatic,Diesel,"£2,980",N/A,Coupe,Gemen Motors - See all 33 cars,Dealer locationLuton
1222,Mazda MX-5,2007 (07 reg),N/A,"65,000 miles",2.0L,160PS,Manual,Petrol,"£2,499",N/A,Convertible,PLF Cars - See all 199 cars,Dealer locationChertsey
1223,Toyota Verso,2014 (63 reg),N/A,"209,000 miles",2.0L,126PS,Manual,Diesel,"£2,495",N/A,MPV,Silverstone Cars limited - See all 56 cars,Dealer locationBarking
1224,Volvo S40,2007 (07 reg),2 owners,"113,000 miles",1.6L,100BHP,Manual,Petrol,"£1,995",N/A,Saloon,Bluemoon Motors Ltd - See all 13 cars,Dealer locationLeytonstone
1225,Saab 9-5,2009 (09 reg),N/A,"107,873 miles",1.9L,150BHP,Manual,Diesel,£790,Cat S,Saloon,Century Motors Ltd Est 1958 - See all 53 cars,Dealer locationSheffield
1226,Toyota Yaris,2012 (12 reg),2 owners,"85,000 miles",1.0L,69PS,Manual,Petrol,"£4,080",N/A,Hatchback,SQ Motor Group Ltd - See all 55 cars,Dealer locationReading
1227,Ford Focus,2009 (09 reg),N/A,"75,000 miles",1.6L,99BHP,Manual,Petrol,"£1,990",N/A,Hatchback,VANTAGE AUTO HUB LTD - See all 17 cars,Dealer locationPeterborough
1228,BMW 3 Series,2008 (08 reg),4 owners,"189,100 miles",2.0L,129PS,Manual,Petrol,"£1,500",N/A,Saloon,D&D UK CARS LIMITED - See all 17 cars,Dealer locationLuton
1229,BMW 1 Series,2010 (60 reg),N/A,"72,000 miles",2.0L,143PS,Manual,Petrol,"£1,850",N/A,Hatchback,Car & House - See all 95 cars,Dealer locationWelwyn
1230,Vauxhall Astra,2019 (19 reg),1 owner,"72,926 miles",1.6L,108BHP,Manual,Diesel,"£8,299",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
1231,SEAT Ateca,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1232,BMW 1 Series,2017 (17 reg),2 owners,"48,357 miles",1.5L,114BHP,Manual,Diesel,"£10,500",N/A,Hatchback,Big Motoring World Peterborough Fengate - See all 359 cars,Dealer locationPeterborough
1233,Hyundai i20,2011 (11 reg),N/A,"77,800 miles",1.2L,78PS,Manual,Petrol,"£2,480",N/A,Hatchback,House of Cars - See all 88 cars,Dealer locationSlough
1234,Honda Jazz,2002 (52 reg),1 owner,"78,000 miles",1.4L,82BHP,Automatic,Petrol,"£1,980",N/A,Hatchback,Gemen Motors - See all 33 cars,Dealer locationLuton
1235,Honda Jazz,2009 (09 reg),2 owners,"101,050 miles",1.4L,100PS,Manual,Petrol,"£2,400",N/A,Hatchback,Cheap Cars Essex - See all 14 cars,Dealer locationWickford
1236,Volkswagen Golf,2006 (06 reg),3 owners,"59,042 miles",1.9L,103BHP,Manual,Diesel,"£2,490",N/A,Hatchback,DVP CAR SALES LTD - See all 104 cars,Dealer locationCroydon
1237,Honda Accord,2009 (09 reg),N/A,"83,400 miles",2.2L,150PS,Manual,Diesel,"£3,795",N/A,Saloon,Car Deal Ltd - See all 115 cars,Dealer locationWokingham
1238,Mazda3,2010 (60 reg),2 owners,"115,000 miles",1.6L,109PS,Manual,Diesel,"£2,350",N/A,Hatchback,SLF Car Sales - See all 36 cars,Dealer locationBexleyheath
1239,Renault Clio,2007 (57 reg),7 owners,"102,000 miles",1.1L,100BHP,Manual,Petrol,"£2,495",N/A,Hatchback,M S Motor Trade - See all 15 cars,Dealer locationPeterborough
1240,Ford Fiesta,2000 (W reg),N/A,"133,118 miles",1.2L,Manual,Petrol,6 owners,£750,N/A,Hatchback,,N/A
1241,Renault Megane,2011 (11 reg),N/A,"92,000 miles",1.6L,110PS,Manual,Petrol,"£1,695",N/A,Hatchback,WCC - See all 128 cars,Dealer locationHook
1242,Ford Fiesta,2016 (16 reg),3 owners,"105,000 miles",1.0L,100PS,Manual,Petrol,"£2,800",N/A,Hatchback,,N/A
1243,Ford Kuga,2012 (62 reg),N/A,"100,145 miles",2.0L,163PS,Automatic,Diesel,"£2,000",N/A,SUV,ARJ MOTORS - See all 73 cars,Dealer locationAddlestone
1244,Vauxhall Astra,2019 (19 reg),1 owner,"72,926 miles",1.6L,108BHP,Manual,Diesel,"£8,299",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
1245,Hyundai i10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1246,Hyundai Tucson,2017 (17 reg),4 owners,"49,708 miles",1.6L,130BHP,Manual,Petrol,"£11,200",N/A,SUV,Big Motoring World West Malling - See all 486 cars,Dealer locationAddington
1247,Peugeot 207,2009 (09 reg),N/A,"69,328 miles",1.4L,95BHP,Manual,Petrol,"£1,995",N/A,Hatchback,DUNSMORE MOTORZ LTD - See all 54 cars,Dealer locationCoventry
1248,Hyundai Atoz,1999 (V reg),N/A,"100,000 miles",1.0L,55BHP,Manual,Petrol,£300,N/A,Hatchback,Castle Motors - See all 19 cars,Dealer locationLeeds
1249,Vauxhall Corsa,2014 (64 reg),N/A,"59,068 miles",1.2L,85PS,Manual,Petrol,"£3,500",N/A,Hatchback,,N/A
1250,Jaguar XF,2010 (59 reg),4 owners,"93,826 miles",3.0L,275PS,Automatic,Diesel,"£3,000",N/A,Saloon,South Croydon Motor Centre - See all 61 cars,Dealer locationKenley
1251,Ford Focus,2012 (62 reg),4 owners,"83,000 miles",1.0L,125PS,Manual,Petrol,"£5,377",N/A,Hatchback,Saac Motors Ltd - See all 7 cars,Dealer locationHemel Hempstead
1252,Peugeot 307,2005 (54 reg),N/A,"106,000 miles",1.6L,110BHP,Manual,Diesel,£995,N/A,Hatchback,WCC - See all 128 cars,Dealer locationHook
1253,Ford Fiesta,2008 (58 reg),N/A,"139,000 miles",1.25L,81BHP,Manual,Petrol,"£1,795",N/A,Hatchback,Reading Car Sales - See all 71 cars,Dealer locationReading
1254,SEAT Ibiza,2011 (60 reg),N/A,"60,000 miles",1.2L,70PS,Manual,Petrol,"£1,750",Cat C,Hatchback,Affordable Car Centre Ltd - See all 170 cars,Dealer locationBedford
1255,Ford Fiesta,2011 (11 reg),10 owners,"145,000 miles",1.2L,81BHP,Manual,Petrol,"£2,000",N/A,Hatchback,Cranford Motors - See all 48 cars,Dealer locationStowmarket
1256,Fiat 500,2008 (08 reg),3 owners,"45,000 miles",1.2L,70PS,Manual,Petrol,"£2,490",N/A,Hatchback,Thames Fleet Purchasing - See all 20 cars,Dealer locationMaidenhead
1257,Audi A5,2010 (60 reg),N/A,"142,100 miles",2.0L,168BHP,Manual,Diesel,"£4,889",N/A,Coupe,A6 Motors Ltd - See all 156 cars,Dealer locationBedford
1258,Hyundai Tucson,2017 (17 reg),4 owners,"49,708 miles",1.6L,130BHP,Manual,Petrol,"£11,200",N/A,SUV,Big Motoring World West Malling - See all 486 cars,Dealer locationAddington
1259,KIA Ceed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1260,Hyundai Kona,2019 (69 reg),1 owner,"39,670 miles",1.6L,139BHP,Automatic,Petrol Hybrid,"£15,800",N/A,SUV,Big Motoring World West Malling - See all 486 cars,Dealer locationAddington
1261,BMW 3 Series,2003 (53 reg),N/A,"98,979 miles",2.5L,189BHP,Automatic,Petrol,"£2,898",N/A,Coupe,AUTHENTIC AUTOS - See all 7 cars,Dealer locationHarrow
1262,Ford Fiesta,2008 (58 reg),5 owners,"92,000 miles",1.25L,74BHP,Manual,Petrol,"£1,750",N/A,Hatchback,Prestige Cars Agent - See all 43 cars,Dealer locationWaltham Abbey
1263,Peugeot 308,2008 (08 reg),3 owners,"80,127 miles",1.6L,120BHP,Manual,Petrol,"£2,100",N/A,Hatchback,Prestige Motoring Ltd - See all 52 cars,Dealer locationCrawley
1264,Dacia Logan Mcv,2014 (14 reg),N/A,"137,000 miles",1.5L,90PS,Manual,Diesel,"£1,999",N/A,Estate,PLF Cars - See all 199 cars,Dealer locationChertsey
1265,Fiat 500,2009 (59 reg),Full service history,"67,000 miles",1.3L,76PS,Manual,Diesel,"£2,490",N/A,Hatchback,HASSYS AUTOS - See all 21 cars,Dealer locationPeterborough
1266,Ford KA,2013 (63 reg),N/A,"57,635 miles",1.2L,69PS,Manual,Petrol,"£3,990",N/A,Hatchback,Kevin Car Sales & Hcw Ltd - See all 8 cars,Dealer locationRainham
1267,BMW 3 Series,2012 (12 reg),2 owners,"139,000 miles",2.0L,163PS,Manual,Diesel,"£4,295",N/A,Saloon,Heathrow Motor House - See all 30 cars,Dealer locationWest Drayton
1268,Renault Clio,2007 (07 reg),N/A,"85,150 miles",1.4L,98BHP,Manual,Petrol,"£1,500",N/A,Hatchback,Primex Trading - See all 57 cars,Dealer locationBedford
1269,Renault Megane,2012 (12 reg),N/A,"119,650 miles",1.6L,110PS,Manual,Petrol,"£2,395",N/A,Hatchback,TRAX CARS LTD - See all 18 cars,Dealer locationSwanscombe
1270,Mercedes-Benz C Class,2008 (08 reg),5 owners,"97,042 miles",1.8L,156PS,Manual,Petrol,"£2,450",N/A,Saloon,,N/A
1271,Lexus IS 200,2011 (61 reg),2 owners,"210,000 miles",2.2L,148BHP,Manual,Diesel,"£1,099",N/A,Saloon,Shahz Cars - See all 38 cars,Dealer locationLeighton Buzzard
1272,Hyundai Tucson,2017 (17 reg),4 owners,"49,708 miles",1.6L,130BHP,Manual,Petrol,"£11,200",N/A,SUV,Big Motoring World West Malling - See all 486 cars,Dealer locationAddington
1273,KIA Ceed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1274,BMW 1 Series,2017 (17 reg),2 owners,"48,357 miles",1.5L,114BHP,Manual,Diesel,"£10,500",N/A,Hatchback,Big Motoring World Peterborough Fengate - See all 359 cars,Dealer locationPeterborough
1275,Ford KA,2007 (07 reg),2 owners,"65,646 miles",1.3L,69BHP,Manual,Petrol,"£1,495",N/A,Hatchback,HESSON MOTORS LTD - See all 15 cars,Dealer locationArmada Way
1276,Vauxhall Insignia,2012 (62 reg),4 owners,"88,243 miles",1.8L,140PS,Manual,Petrol,"£3,295",N/A,Hatchback,Personal Automotive - See all 17 cars,Dealer locationBedford
1277,Volkswagen Polo,2007 (57 reg),N/A,"118,000 miles",1.2L,55BHP,Manual,Petrol,"£1,495",N/A,Hatchback,WCC - See all 128 cars,Dealer locationHook
1278,Toyota Corolla Verso,2003 (53 reg),2 owners,"61,686 miles",1.8L,133BHP,Automatic,Petrol,"£2,895",N/A,MPV,Carbizz Ltd - See all 6 cars,Dealer locationWalthamstow
1279,Volkswagen Polo,2013 (13 reg),4 owners,"89,000 miles",1.2L,60PS,Manual,Petrol,"£4,450",N/A,Hatchback,GAC Cars - See all 22 cars,Dealer locationRomford
1280,Ford B-Max,2013 (13 reg),3 owners,"120,000 miles",1.4L,90PS,Manual,Petrol,"£1,990",N/A,MPV,Harry's Car Sales - See all 333 cars,Dealer locationPeterborough
1281,Ford Fiesta,2003 (03 reg),2 owners,"141,245 miles",1.25L,74BHP,Manual,Petrol,"£1,095",N/A,Hatchback,SU Kent Cars Ltd - See all 24 cars,Dealer locationSwanscombe
1282,Ford Fiesta,2009 (09 reg),2 owners,"93,133 miles",1.4L,94BHP,Manual,Petrol,"£3,500",N/A,Hatchback,Moulsham Motor Company - See all 46 cars,Dealer locationChelmsford
1283,Toyota RAV4,2009 (09 reg),N/A,"154,938 miles",2.2L,134BHP,Manual,Diesel,"£1,495",N/A,SUV,Darin Autos Limited - See all 21 cars,Dealer locationEnfield
1284,Citroen Xsara Picasso,2006 (56 reg),N/A,"41,000 miles",1.6L,110BHP,Manual,Petrol,"£3,490",N/A,MPV,Prestigio Cars Ltd - See all 74 cars,Dealer locationBedford
1285,Ford Kuga,2012 (62 reg),N/A,"100,145 miles",2.0L,163PS,Automatic,Diesel,"£2,000",N/A,SUV,ARJ MOTORS - See all 73 cars,Dealer locationAddlestone
1286,Peugeot 208,2021 (21 reg),1 owner,"53,235 miles",1.2L,99BHP,Manual,Petrol,"£14,100",N/A,Hatchback,Big Motoring World West Malling - See all 486 cars,Dealer locationAddington
1287,Nissan Juke,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1288,Hyundai Kona,2019 (69 reg),1 owner,"39,670 miles",1.6L,139BHP,Automatic,Petrol Hybrid,"£15,800",N/A,SUV,Big Motoring World West Malling - See all 486 cars,Dealer locationAddington
1289,Volvo XC90,2010 (60 reg),2 owners,"170,000 miles",2.4L,182BHP,Automatic,Diesel,"£3,000",N/A,SUV,Honest Trade Dudley - See all 10 cars,Dealer locationDudley
1290,Ford S-Max,2008 (08 reg),3 owners,"177,000 miles",2.0L,138BHP,Manual,Diesel,"£2,195",N/A,MPV,RS Motors - See all 21 cars,Dealer locationBirmingham
1291,Honda Accord,2010 (10 reg),N/A,"319,000 miles",2.0L,156PS,Manual,Petrol,£995,Cat S,Saloon,Clifby Motor Centre - See all 24 cars,Dealer locationHalifax
