,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
490,BMW 1 Series,2017 (17 reg),2 owners,"48,357 miles",1.5L,114BHP,Manual,Diesel,"£10,500",N/A,Hatchback,Big Motoring World Peterborough Fengate - See all 358 cars,Dealer locationPeterborough
491,Vauxhall Astra Gtc,2012 (12 reg),3 owners,"73,000 miles",1.4L,120PS,Manual,Petrol,"£3,750",N/A,Coupe,Ghost Motors LTD - See all 36 cars,Dealer locationCleckheaton
492,Dacia Sandero Stepway,2014 (14 reg),N/A,"127,000 miles",0.9L,90BHP,Manual,Petrol,"£1,150",N/A,Hatchback,Autopark UK - See all 168 cars,Dealer locationMeadowfield
493,Mitsubishi Colt Cabriolet,2008 (08 reg),N/A,"90,029 miles",1.5L,107BHP,Manual,Petrol,£999,N/A,Convertible,CARS WITH CHARACTOR LIMITED T/A Click Car - See all 19 cars,Dealer locationStockport
494,Nissan Juke,2011 (11 reg),3 owners,"116,000 miles",1.5L,110PS,Manual,Diesel,"£2,990",N/A,SUV,A & S Motors - See all 25 cars,Dealer locationWalsall
495,Mazda2,2010 (60 reg),5 owners,"60,000 miles",1.3L,86PS,Manual,Petrol,"£2,995",N/A,Hatchback,Cleckheaton Motor Sales - See all 76 cars,Dealer locationCleckheaton
496,Mazda6,2009 (09 reg),1 owner,"91,000 miles",2.0L,138BHP,Manual,Diesel,"£3,000",N/A,Hatchback,Chambers Car Sales - See all 6 cars,Dealer locationRotherham
497,Ford Fiesta,2011 (11 reg),13 owners,"96,000 miles",1.25L,81BHP,Manual,Petrol,"£2,995",Cat D,Hatchback,Rolling Autos Ltd - See all 51 cars,Dealer locationLeicester
498,BMW 3 Series,2011 (61 reg),1 owner,"83,000 miles",2.0L,184PS,Manual,Diesel,"£5,999",N/A,Saloon,BASFORD MOTORS LTD - See all 62 cars,Dealer locationStoke On Trent
499,Audi A4 Avant,2006 (56 reg),2 owners,"108,000 miles",2.0L,138BHP,Manual,Diesel,"£2,500",N/A,Estate,RUTLAND MOTOR COMPANY - See all 97 cars,Dealer locationSheffield
500,Ford Fiesta,2011 (11 reg),4 owners,"122,200 miles",1.4L,69BHP,Manual,Diesel,"£2,500",N/A,Hatchback,Premier Motor Collection - See all 73 cars,Dealer locationSheffield
501,Citroen Berlingo,2009 (09 reg),2 owners,"102,850 miles",1.6L,90PS,Manual,Diesel,"£4,000",N/A,MPV,Approved Vehicles - See all 70 cars,Dealer locationChesterfield
502,BMW 1 Series,2017 (17 reg),2 owners,"48,357 miles",1.5L,114BHP,Manual,Diesel,"£10,500",N/A,Hatchback,Big Motoring World Peterborough Fengate - See all 358 cars,Dealer locationPeterborough
503,SKODA Octavia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
504,Mercedes-Benz A Class,2019 (69 reg),1 owner,"91,439 miles",1.5L,116PS,Automatic,Diesel,"£15,850",N/A,Saloon,Carsa - See all 193 cars,Dealer locationCollect from Bradford
505,Nissan Qashqai,2016 (16 reg),Part service history,"87,602 miles",1.5L,110PS,Manual,Diesel,"£8,990",N/A,SUV,Motorgurus - See all 104 cars,Dealer locationSheffield
506,Renault Clio,2010 (60 reg),3 owners,"115,000 miles",1.5L,86PS,Manual,Diesel,"£1,299",N/A,Estate,Za-Motors - See all 81 cars,Dealer locationBurton On Trent
507,Ford Focus,2012 (61 reg),2 owners,"196,000 miles",1.6L,115PS,Manual,Diesel,"£1,895",N/A,Hatchback,SS Motors - See all 6 cars,Dealer locationStoke On Trent
508,Renault Clio,2010 (59 reg),N/A,"61,430 miles",1.2L,75BHP,Manual,Petrol,"£2,499",N/A,Hatchback,SHEFF CARS LTD - See all 51 cars,Dealer locationSheffield
509,Ford Fiesta,2009 (09 reg),N/A,"137,000 miles",1.25L,81BHP,Manual,Petrol,"£1,495",N/A,Hatchback,BMC Motor Group - See all 8 cars,Dealer locationBatley
510,Vauxhall Corsa,2011 (11 reg),N/A,"95,528 miles",1.0L,65PS,Manual,Petrol,"£2,395",N/A,Hatchback,CAR MARKET YORKSHIRE - See all 86 cars,Dealer locationDewsbury
511,Peugeot 208,2015 (15 reg),3 owners,"49,000 miles",1.0L,68PS,Manual,Petrol,"£1,500",Cat N,Hatchback,,N/A
512,Vauxhall Astra,2007 (57 reg),1 owner,"82,095 miles",1.8L,138BHP,Manual,Petrol,"£2,295",N/A,Hatchback,MS MOTORS - See all 26 cars,Dealer locationOssett
513,Honda Civic,2013 (13 reg),N/A,"193,436 miles",1.6L,120PS,Manual,Diesel,"£1,990",N/A,Hatchback,HCC - See all 64 cars,Dealer locationHalifax
514,SEAT Ibiza,2013 (63 reg),3 owners,"122,767 miles",1.2L,105PS,Manual,Petrol,"£3,695",N/A,Hatchback,Repute Motors - See all 108 cars,Dealer locationOldham
515,Citroen Berlingo,2009 (09 reg),2 owners,"102,850 miles",1.6L,90PS,Manual,Diesel,"£4,000",N/A,MPV,Approved Vehicles - See all 70 cars,Dealer locationChesterfield
516,Nissan Juke,2020 (70 reg),N/A,"5,524 miles",1.0L,114PS,Manual,Petrol,"£16,302",N/A,SUV,Bristol Street Motors Nissan Derby - See all 31 cars,Dealer locationDerby
517,SKODA Octavia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
518,Citroen C1,2019 (19 reg),3 owners,"17,521 miles",1.0L,72PS,Manual,Petrol,"£8,280",N/A,Hatchback,Bristol Street Motors Vauxhall Knaresborough - See all 55 cars,Dealer locationKnaresborough
519,Renault Scenic,2007 (07 reg),2 owners,"66,807 miles",1.6L,111BHP,Automatic,Petrol,"£2,000",N/A,MPV,Lex Motor Ltd - See all 15 cars,Dealer locationRochdale
520,Audi TT,2007 (57 reg),6 owners,"92,000 miles",2.0L,200PS,Manual,Petrol,"£3,750",N/A,Coupe,Ghost Motors LTD - See all 36 cars,Dealer locationCleckheaton
521,Ford Focus,2009 (59 reg),7 owners,"160,000 miles",1.6L,99BHP,Manual,Petrol,"£1,095",N/A,Hatchback,D C CARS SWAPSHOP - See all 14 cars,Dealer locationSheffield
522,Mazda2,2013 (13 reg),2 owners,"84,300 miles",1.3L,75PS,Manual,Petrol,"£2,995",N/A,Hatchback,R & J Car Sales Ltd - See all 32 cars,Dealer locationHalifax
523,Peugeot 1007,2005 (55 reg),N/A,"127,581 miles",1.4L,75BHP,Manual,Petrol,£995,N/A,Hatchback,Burton Cheap Cars - See all 58 cars,Dealer locationBurton On Trent
524,Ford Focus,2010 (10 reg),2 owners,"113,936 miles",1.6L,108BHP,Manual,Diesel,"£1,849",N/A,Hatchback,Ashby Budget Cars - See all 18 cars,Dealer locationSwadlincote
525,Ford Mondeo,2008 (57 reg),8 owners,"101,000 miles",2.0L,143BHP,Manual,Petrol,"£1,250",N/A,Hatchback,ALLABOUTCARZ LTD - See all 8 cars,Dealer locationBirmingham
526,Citroen Berlingo,2009 (09 reg),2 owners,"102,850 miles",1.6L,90PS,Manual,Diesel,"£4,000",N/A,MPV,Approved Vehicles - See all 70 cars,Dealer locationChesterfield
527,Vauxhall Zafira,2004 (04 reg),N/A,"126,000 miles",1.8L,123BHP,Manual,Petrol,£895,N/A,MPV,B L MOTORS OVERSEAL LTD - See all 31 cars,Dealer locationSwadlincote
528,Nissan X-Trail,2003 (52 reg),5 owners,"90,200 miles",2.5L,165BHP,Automatic,Petrol,"£1,495",N/A,SUV,Wyke Motors - See all 23 cars,Dealer locationBradford
529,Ford Focus,2007 (57 reg),6 owners,"65,700 miles",1.8L,113BHP,Manual,Diesel,"£2,490",N/A,Hatchback,Munroe Vehicle Solutions - See all 11 cars,Dealer locationSheffield
530,Citroen C1,2019 (19 reg),3 owners,"17,521 miles",1.0L,72PS,Manual,Petrol,"£8,280",N/A,Hatchback,Bristol Street Motors Vauxhall Knaresborough - See all 55 cars,Dealer locationKnaresborough
531,Audi A1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
532,Nissan Juke,2020 (70 reg),N/A,"5,524 miles",1.0L,114PS,Manual,Petrol,"£16,302",N/A,SUV,Bristol Street Motors Nissan Derby - See all 31 cars,Dealer locationDerby
