,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1304,Audi A3,2013 (13 reg),1 owner,"139,000 miles",1.6L,105PS,Manual,Diesel,"£5,990",N/A,Hatchback,SCR Autos - See all 15 cars,Dealer locationHenley On Thames
1305,Honda Civic,2013 (63 reg),N/A,"118,000 miles",1.8L,142PS,Manual,Petrol,"£3,975",N/A,Hatchback,Langley Trade Centre - See all 40 cars,Dealer locationSlough
1306,Suzuki Swift,2014 (14 reg),N/A,"68,350 miles",1.2L,94BHP,Manual,Petrol,"£5,390",N/A,Hatchback,Automatic Motors Ltd - See all 92 cars,Dealer locationWest Drayton
1307,Volkswagen Jetta,2012 (12 reg),7 owners,"107,000 miles",1.6L,105PS,Automatic,Diesel,"£3,690",N/A,Saloon,,N/A
1308,BMW 1 Series,2005 (55 reg),N/A,"105,937 miles",2.0L,122PS,Manual,Diesel,"£2,499",N/A,Hatchback,AL Prestige Cars Ltd - See all 186 cars,Dealer locationSouthampton
1309,Volkswagen Golf,2008 (57 reg),2 owners,"116,000 miles",2.0L,168BHP,Manual,Diesel,"£2,895",N/A,Hatchback,ARLINGTON CAR SALES LTD - See all 71 cars,Dealer locationReading
1310,Vauxhall Astra,2008 (08 reg),No service history,"109,000 miles",1.6L,113BHP,Manual,Petrol,"£1,495",N/A,Hatchback,Edmonton Motors - See all 31 cars,Dealer locationLondon
1311,Ford Fiesta,2010 (10 reg),2 owners,"177,000 miles",1.25L,81BHP,Manual,Petrol,"£1,690",N/A,Hatchback,Mangotsfield Motor Company - See all 33 cars,Dealer locationBristol
1312,Peugeot 207,2010 (60 reg),3 owners,"72,299 miles",1.4L,95PS,Manual,Petrol,"£1,895",Cat N,Hatchback,S K Motors Reading - See all 72 cars,Dealer locationWokingham
1313,Lexus IS 250,2007 (07 reg),N/A,"128,199 miles",2.5L,204BHP,Manual,Petrol,"£2,222",N/A,Saloon,Bravo Motorcars Ltd - See all 32 cars,Dealer locationRickmansworth
1314,Vauxhall Astra,2019 (19 reg),1 owner,"72,926 miles",1.6L,108BHP,Manual,Diesel,"£8,299",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
1315,SKODA Karoq,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1316,Peugeot 208,2018 (68 reg),2 owners,"42,024 miles",1.2L,110PS,Manual,Petrol,"£9,580",N/A,Hatchback,Bristol Street Motors Peugeot Banbury - See all 33 cars,Dealer locationBanbury
1317,Fiat Punto Evo,2011 (11 reg),N/A,"74,000 miles",1.4L,78PS,Manual,Petrol,"£2,489",N/A,Hatchback,Sensibly Priced Cars - See all 114 cars,Dealer locationBristol
1318,Suzuki Swift,2009 (59 reg),3 owners,"105,000 miles",1.6L,123BHP,Manual,Petrol,"£2,675",N/A,Hatchback,RS Motors - See all 21 cars,Dealer locationBirmingham
