,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1187,SEAT Ibiza,2015 (15 reg),N/A,"81,617 miles",1.4L,140BHP,Manual,Petrol,"£6,499",N/A,Hatchback,Rydal Motors (Preston) Limited - See all 36 cars,Dealer locationPreston
1188,Honda Cr-V,2017 (67 reg),2 owners,"44,000 miles",2.0L,155PS,Manual,Petrol,"£12,999",N/A,SUV,Alex Scott Cramlington - See all 40 cars,Dealer locationCramlington
1189,Tesla Model Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1190,Vauxhall Crossland,2021 (21 reg),N/A,"41,957 miles",1.2L,110PS,Manual,Petrol,"£13,800",N/A,SUV,Bristol Street Motors Vauxhall Newcastle - See all 41 cars,Dealer locationNewcastle Upon Tyne
1191,Ford Fiesta,2010 (10 reg),N/A,"99,035 miles",1.6L,118BHP,Manual,Petrol,"£3,650",N/A,Hatchback,Lcc Car Sales Limited - See all 54 cars,Dealer locationShipley
1192,Renault Megane,2007 (07 reg),N/A,"62,000 miles",1.6L,111BHP,Manual,Petrol,"£1,499",N/A,Convertible,Net Cars Ilkeston - See all 10 cars,Dealer locationIlkeston
1193,Peugeot 207,2008 (58 reg),N/A,"100,300 miles",1.4L,75BHP,Manual,Petrol,"£1,295",N/A,Hatchback,Northern Car Centre Limited - See all 72 cars,Dealer locationPreston
1194,Volkswagen Golf,2010 (60 reg),N/A,"94,910 miles",2.0L,140PS,Automatic,Diesel,"£3,890",N/A,Hatchback,Yorkshire cars - See all 58 cars,Dealer locationBradford
1195,Ford Focus,2008 (58 reg),7 owners,"93,000 miles",1.6L,99BHP,Manual,Petrol,"£1,895",N/A,Hatchback,Broadgate Motors - See all 13 cars,Dealer locationBradford
1196,Honda Accord,2007 (07 reg),3 owners,"147,000 miles",2.0L,153BHP,Manual,Petrol,"£1,500",N/A,Saloon,AA Cars - See all 39 cars,Dealer locationKeighley
1197,Ford C-Max,2011 (60 reg),N/A,"94,000 miles",1.6L,100BHP,Manual,Petrol,"£2,900",N/A,MPV,Catalina Of Stanningley - See all 95 cars,Dealer locationPudsey
1198,BMW 3 Series,2013 (63 reg),2 owners,"81,500 miles",2.0L,184PS,Manual,Petrol,"£8,000",N/A,Saloon,,N/A
1199,MINI Convertible,2006 (06 reg),8 owners,"99,000 miles",1.6L,115PS,Manual,Petrol,"£2,250",N/A,Convertible,Discount Cars - See all 54 cars,Dealer locationStockton On Tees
