,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1337,Toyota Yaris,2016 (66 reg),1 owner,"43,104 miles",1.33L,99PS,Manual,Petrol,"£8,700",N/A,Hatchback,Car Planet - See all 371 cars,N/A
1338,Peugeot e-2008,2021 (21 reg),N/A,"45,380 miles",136PS,Automatic,Electric,N/A,"£17,500",N/A,SUV,Drive Green - See all 87 cars,N/A
1339,MINI Hatch,2017 (17 reg),N/A,"62,000 miles",1.5L,136BHP,Manual,Petrol,"£9,795",N/A,Hatchback,Mick Partlett Car Sales - See all 31 cars,Dealer locationWitney
1340,Nissan Juke,2019 (19 reg),1 owner,"16,995 miles",1.6L,112PS,Manual,Petrol,"£12,500",N/A,SUV,Eden Approved Bicester - See all 48 cars,Dealer locationBicester
1341,Toyota Yaris,2009 (59 reg),1 owner,"81,965 miles",1.33L,101PS,Manual,Petrol,"£3,300",N/A,Hatchback,M&R Motors - See all 49 cars,Dealer locationWallingford
1342,Peugeot 3008,2020 (69 reg),2 owners,"30,717 miles",1.2L,131PS,Manual,Petrol,"£17,000",N/A,SUV,Eden Vauxhall Oxford - See all 58 cars,Dealer locationOxford
1343,Renault Captur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1344,KIA Stonic,2018 (18 reg),2 owners,"43,671 miles",1.4L,99PS,Manual,Petrol,"£11,243",N/A,SUV,Carsa - See all 193 cars,N/A
1345,Peugeot Partner Tepee,2009 (58 reg),3 owners,"100,600 miles",1.6L,90BHP,Manual,Diesel,"£3,399",N/A,MPV,,N/A
1346,Ford Fiesta,2013 (13 reg),N/A,"72,295 miles",1.2L,80BHP,Manual,Petrol,"£5,760",N/A,Hatchback,Farm Garage Limited - See all 78 cars,N/A
1347,Ford Grand C-Max,2015 (64 reg),N/A,"72,300 miles",1.6L,115PS,Manual,Diesel,"£7,400",N/A,MPV,Car Planet - See all 371 cars,N/A
1348,Renault Kangoo,2007 (57 reg),N/A,"49,000 miles",1.6L,95BHP,Automatic,Petrol,"£4,990",N/A,MPV,Prestigio Cars Ltd - See all 79 cars,N/A
