,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1235,SEAT Ibiza,2014 (64 reg),2 owners,"76,311 miles",1.2L,105PS,Manual,Petrol,"£5,995",N/A,Hatchback,DACI AUTOS BRISTOL - See all 23 cars,Dealer locationBristol
1236,SEAT Leon,2020 (20 reg),3 owners,"39,773 miles",1.5L,150PS,Manual,Petrol,"£16,400",N/A,Hatchback,Hendy Car Store - See all 132 cars,Dealer locationExeter
1237,Ford KA,1999 (T reg),2 owners,"35,000 miles",1.3L,59BHP,Manual,Petrol,"£1,995",N/A,Hatchback,Ivybridge Trade Centre - See all 121 cars,Dealer locationIvybridge
1238,SKODA Fabia,2016 (66 reg),2 owners,"66,567 miles",1.2L,110PS,Manual,Petrol,"£9,499",N/A,Hatchback,Plymouth Motor Company Church Garage - See all 21 cars,Dealer locationPlymouth
1239,Daihatsu Sirion,2007 (57 reg),N/A,"85,138 miles",1.0L,68BHP,Manual,Petrol,"£1,795",N/A,Hatchback,SAPPHIRE CARS - See all 11 cars,Dealer locationTorquay
1240,Vauxhall Astra,2009 (58 reg),2 owners,"97,319 miles",1.6L,113BHP,Manual,Petrol,"£1,310",N/A,Hatchback,,N/A
1241,SEAT Ibiza,2008 (58 reg),N/A,"56,000 miles",1.2L,70PS,Manual,Petrol,"£2,999",Cat D,Hatchback,Autoemocion - See all 14 cars,Dealer locationBirmingham
1242,Peugeot 207,2010 (60 reg),3 owners,"92,000 miles",1.4L,95PS,Manual,Petrol,"£1,500",N/A,Hatchback,Cheap Cars and Vans - See all 20 cars,Dealer locationEnfield
1243,Ford Kuga,2012 (62 reg),N/A,"100,145 miles",2.0L,163PS,Automatic,Diesel,"£2,000",N/A,SUV,ARJ MOTORS - See all 73 cars,Dealer locationAddlestone
1244,SKODA Fabia,2016 (16 reg),Full service history,"72,258 miles",1.2L,89BHP,Manual,Petrol,"£7,990",N/A,Hatchback,Howe Motors Ltd - See all 57 cars,Dealer locationBarry
1245,Hyundai i10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1246,Citroen C3 Aircross,2019 (69 reg),1 owner,"12,092 miles",1.2L,130PS,Automatic,Petrol,"£17,995",N/A,SUV,Yeomans Citroen Plymouth - See all 52 cars,Dealer locationPlymouth
1247,MINI Hatch,2008 (58 reg),4 owners,"88,000 miles",1.4L,95PS,Manual,Petrol,"£2,385",N/A,Hatchback,MCS. - See all 22 cars,Dealer locationSandhurst
1248,MINI Hatch,2006 (06 reg),N/A,"107,390 miles",1.6L,118PS,Manual,Petrol,£500,N/A,Hatchback,J.A Motors Ltd - See all 42 cars,Dealer locationKeighley
1249,Nissan Pixo,2011 (11 reg),N/A,"61,500 miles",1.0L,68PS,Manual,Petrol,"£2,495",N/A,Hatchback,CAR MART (SW) LTD - See all 81 cars,Dealer locationBristol
1250,Peugeot 206,2005 (05 reg),4 owners,"76,445 miles",1.6L,110BHP,Manual,Petrol,"£1,050",N/A,Hatchback,First Drove Car Sales - See all 37 cars,Dealer locationPeterborough
1251,Honda Accord,2009 (09 reg),N/A,"83,400 miles",2.2L,150PS,Manual,Diesel,"£3,795",N/A,Saloon,Car Deal Ltd - See all 115 cars,Dealer locationWokingham
1252,Ford Fiesta,2011 (60 reg),N/A,"128,000 miles",1.6L,118BHP,Manual,Petrol,"£2,495",N/A,Hatchback,ARLINGTON CAR SALES LTD - See all 71 cars,Dealer locationReading
1253,Vauxhall Antara,2010 (10 reg),N/A,"117,900 miles",2.0L,150PS,Manual,Diesel,"£2,500",N/A,SUV,A.Owen Motor Group - See all 138 cars,Dealer locationNewbury
1254,Vauxhall Corsa,2016 (16 reg),4 owners,"82,000 miles",1.3L,75PS,Manual,Diesel,"£4,250",N/A,Hatchback,Prominence Cars Ltd - See all 51 cars,Dealer locationBirmingham
1255,Peugeot 307,2007 (56 reg),Part service history,"100,549 miles",1.4L,90BHP,Manual,Petrol,"£1,800",N/A,Hatchback,Vine Autos - See all 21 cars,Dealer locationAxminster
1256,Renault Megane,2011 (61 reg),3 owners,"89,000 miles",2.0L,250PS,Manual,Petrol,"£7,991",N/A,Coupe,Cute Club - See all 21 cars,Dealer locationBarry
1257,Volvo V40,2002 (02 reg),N/A,"149,000 miles",Manual,Diesel,4 owners,N/A,£795,N/A,Estate,Reflex Autos Limited - See all 17 cars,Dealer locationShepperton
1258,Citroen C3,2021 (21 reg),1 owner,"19,500 miles",1.2L,83PS,Manual,Petrol,"£13,295",N/A,Hatchback,Yeomans Citroen Plymouth - See all 52 cars,Dealer locationPlymouth
1259,KIA Ceed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1260,Renault Clio,2020 (20 reg),N/A,"36,500 miles",1.0L,100BHP,Manual,Petrol,"£13,995",N/A,Hatchback,Hawkins Motors St Austell - See all 26 cars,Dealer locationSt. Austell
1261,Land Rover Range Rover Evoque,2012 (62 reg),N/A,"82,500 miles",2.2L,190BHP,Automatic,Diesel,"£11,995",N/A,SUV,BM Motors - See all 71 cars,Dealer locationSaltash
1262,Volkswagen Polo,2014 (64 reg),2 owners,"70,247 miles",1.2L,90PS,Manual,Petrol,"£7,595",N/A,Hatchback,Eden Vauxhall Honiton - See all 27 cars,Dealer locationHoniton
1263,Volkswagen Polo,2012 (12 reg),2 owners,"98,000 miles",1.2L,70PS,Manual,Petrol,"£4,995",N/A,Hatchback,Prestige Motoring Group - See all 75 cars,Dealer locationTipton
1264,KIA Sportage,2016 (16 reg),1 owner,"85,000 miles",1.7L,114BHP,Manual,Diesel,"£11,499",N/A,SUV,Chicos Garage Of Plymouth - See all 58 cars,Dealer locationPlymouth
1265,Nissan Qashqai,2012 (12 reg),2 owners,"124,000 miles",1.5L,110PS,Manual,Diesel,"£4,295",N/A,SUV,Trade Sales - See all 20 cars,Dealer locationBodmin
1266,Renault Megane,2008 (08 reg),4 owners,"83,693 miles",1.6L,111BHP,Manual,Petrol,£895,N/A,Hatchback,A Car Sales - See all 12 cars,Dealer locationBirmingham
1267,Volkswagen Golf,2011 (60 reg),Part service history,"166,242 miles",1.6L,90PS,Manual,Diesel,"£1,900",N/A,Hatchback,D&D UK CARS LIMITED - See all 17 cars,Dealer locationLuton
1268,Suzuki Swift,2011 (11 reg),N/A,"124,000 miles",1.2L,94PS,Manual,Petrol,"£1,995",N/A,Hatchback,Reading Car Sales - See all 71 cars,Dealer locationReading
1269,Peugeot 3008,2010 (10 reg),N/A,"105,000 miles",1.6L,112PS,Manual,Diesel,"£1,989",N/A,SUV,Sensibly Priced Cars - See all 114 cars,Dealer locationBristol
1270,Chrysler Voyager,2005 (55 reg),N/A,"71,000 miles",2.4L,145BHP,Manual,Petrol,"£1,500",N/A,MPV,JD Enterprise - See all 57 cars,Dealer locationWoking
1271,Peugeot 3008,2011 (61 reg),3 owners,"68,000 miles",1.6L,150PS,Manual,Petrol,"£4,600",N/A,SUV,Armada Cars Ltd - See all 11 cars,Dealer locationPlymouth
1272,Vauxhall Astra,2019 (19 reg),1 owner,"72,926 miles",1.6L,108BHP,Manual,Diesel,"£8,299",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
1273,KIA Ceed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1274,Citroen C3 Aircross,2019 (69 reg),1 owner,"12,092 miles",1.2L,130PS,Automatic,Petrol,"£17,995",N/A,SUV,Yeomans Citroen Plymouth - See all 52 cars,Dealer locationPlymouth
1275,KIA RIO,2013 (13 reg),N/A,"75,300 miles",1.4L,107BHP,Manual,Petrol,"£4,490",N/A,Hatchback,Automatic Motors Ltd - See all 92 cars,Dealer locationWest Drayton
1276,Ford Focus,2020 (20 reg),N/A,"39,717 miles",1.0L,125PS,Manual,Petrol,"£14,910",N/A,Hatchback,CarStore Exeter - See all 93 cars,Dealer locationExeter
1277,Vauxhall Corsa,2011 (60 reg),N/A,"66,000 miles",1.2L,84BHP,Manual,Petrol,"£2,450",N/A,Hatchback,QVM - See all 20 cars,Dealer locationNew Southgate
1278,Peugeot 207,2010 (10 reg),N/A,"87,000 miles",1.4L,75PS,Manual,Petrol,"£1,590",N/A,Hatchback,Car Sale House - See all 31 cars,Dealer locationBirmingham
1279,Chevrolet Matiz,2009 (59 reg),4 owners,"45,000 miles",1.0L,64BHP,Manual,Petrol,"£1,599",N/A,Hatchback,Hanham Family Cars - See all 41 cars,Dealer locationBristol
1280,Mazda6,2005 (05 reg),N/A,"117,000 miles",1.8L,120BHP,Manual,Petrol,£999,N/A,Hatchback,D F Autos - See all 53 cars,Dealer locationRuislip
1281,BMW 1 Series,2012 (62 reg),N/A,"87,000 miles",1.6L,101BHP,Manual,Petrol,"£5,750",N/A,Hatchback,Bhakar Watts Cars Limited - See all 9 cars,Dealer locationBristol
1282,Audi A3 Cabriolet,2010 (59 reg),N/A,"108,000 miles",1.6L,105PS,Manual,Diesel,"£2,000",N/A,Convertible,ANSLOOS MOTORS - See all 54 cars,Dealer locationWrexham
1283,Volkswagen Scirocco,2010 (10 reg),5 owners,"150,000 miles",2.0L,140PS,Automatic,Diesel,"£3,499",N/A,Hatchback,Barry Bangers - See all 18 cars,Dealer locationCardiff
1284,MINI Hatch,2009 (09 reg),3 owners,"115,000 miles",1.6L,120PS,Manual,Petrol,"£1,290",N/A,Hatchback,Harry's Car Sales - See all 333 cars,Dealer locationPeterborough
1285,Peugeot 207,2007 (07 reg),N/A,"67,000 miles",1.6L,150BHP,Manual,Petrol,"£2,195",N/A,Hatchback,CAR MART (SW) LTD - See all 81 cars,Dealer locationBristol
1286,KIA Stonic,2018 (18 reg),2 owners,"43,671 miles",1.4L,99PS,Manual,Petrol,"£11,255",N/A,SUV,Carsa - See all 193 cars,Dealer locationCollect from Southampton
1287,Nissan Juke,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
