,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
718,Vauxhall Insignia,2009 (09 reg),N/A,"110,000 miles",1.8L,140BHP,Manual,Petrol,"£1,790",N/A,Hatchback,2US 4 CARS LTD - See all 78 cars,Dealer locationBacup
719,Ford Focus,2010 (10 reg),2 owners,"159,755 miles",1.6L,99BHP,Manual,Petrol,"£1,195",N/A,Hatchback,TMV Cars - See all 11 cars,Dealer locationBurton On Trent
720,Vauxhall Corsa,2012 (12 reg),2 owners,"64,200 miles",1.2L,85PS,Manual,Petrol,"£2,880",N/A,Hatchback,,N/A
721,Peugeot 307,2006 (06 reg),4 owners,"85,000 miles",1.6L,90BHP,Manual,Diesel,"£1,750",N/A,Hatchback,JDM Trading Ltd - See all 18 cars,Dealer locationRotherham
722,Toyota RAV4,2005 (05 reg),3 owners,"100,360 miles",2.0L,114BHP,Manual,Diesel,"£2,499",N/A,SUV,SHEFF CARS LTD - See all 51 cars,Dealer locationSheffield
723,Suzuki Alto,2015 (64 reg),2 owners,"90,000 miles",1.0L,68PS,Manual,Petrol,"£2,495",N/A,Hatchback,Autoclick - See all 115 cars,Dealer locationWakefield
724,Volkswagen Golf,2011 (61 reg),Full service history,"114,980 miles",1.6L,105PS,Manual,Diesel,"£3,895",N/A,Hatchback,Zaq Motors - See all 16 cars,Dealer locationNelson
725,Lexus IS 250,2007 (07 reg),N/A,"128,199 miles",2.5L,204BHP,Manual,Petrol,"£2,222",N/A,Saloon,Bravo Motorcars Ltd - See all 32 cars,Dealer locationRickmansworth
726,Vauxhall Mokka X,2019 (19 reg),N/A,"16,856 miles",1.4L,140PS,Manual,Petrol,"£13,584",N/A,SUV,Perrys Rotherham - See all 93 cars,Dealer locationRotherham
727,Audi A1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
728,Nissan Juke,2017 (17 reg),Full service history,"31,077 miles",1.2L,115BHP,Manual,Petrol,"£11,790",N/A,SUV,Dace Specialist Car Centre - Trading Standards Approved - See all 137 cars,Dealer locationStockport
729,Toyota Avensis,2009 (59 reg),3 owners,"141,000 miles",2.0L,126PS,Manual,Diesel,"£2,495",N/A,Estate,Signature Motor Sales - See all 23 cars,Dealer locationShipley
730,Citroen DS3,2011 (60 reg),2 owners,"64,000 miles",1.6L,90PS,Manual,Diesel,"£3,995",N/A,Hatchback,Ghost Motors LTD - See all 36 cars,Dealer locationCleckheaton
731,Ford Fusion,2007 (07 reg),5 owners,"134,567 miles",1.4L,79BHP,Manual,Petrol,£795,N/A,Hatchback,A Car Sales - See all 12 cars,Dealer locationBirmingham
732,Honda Civic,2007 (07 reg),3 owners,"101,000 miles",1.8L,138BHP,Manual,Petrol,"£1,000",N/A,Hatchback,,N/A
733,Ford Probe,1997 (P reg),2 owners,"141,110 miles",2.0L,113BHP,Manual,Petrol,"£3,950",N/A,Coupe,,N/A
734,Toyota Corolla,2005 (05 reg),2 owners,"92,762 miles",1.4L,92BHP,Manual,Petrol,"£2,099",N/A,Hatchback,Cheshire Motor Car Sales Limited - See all 35 cars,Dealer locationDukinfield
735,Peugeot 308,2009 (09 reg),N/A,"89,200 miles",1.6L,120BHP,Manual,Petrol,£790,Cat N,Hatchback,ASJ Motors - See all 15 cars,Dealer locationBradford
736,Nissan Elgrand,2017 (67 reg),N/A,N/A,N/A,N/A,N/A,N/A,"£6,000",N/A,"100,000 miles",HSI Automotive - See all 21 cars,Dealer locationBradford
737,Mazda6,2014 (14 reg),N/A,"138,000 miles",2.2L,150PS,Manual,Diesel,"£4,295",N/A,Saloon,Norwood Car Sales - See all 27 cars,Dealer locationShipley
738,Vauxhall Insignia,2013 (63 reg),4 owners,"168,100 miles",2.0L,140PS,Manual,Diesel,"£1,495",N/A,Hatchback,AR Car Lot Ltd - See all 15 cars,Dealer locationBirmingham
739,Ford Fiesta,2015 (15 reg),N/A,"86,694 miles",1.2L,80BHP,Manual,Petrol,"£5,000",N/A,Hatchback,Courtyard Select Limited - See all 9 cars,Dealer locationWarrington
740,Vauxhall Viva,2019 (68 reg),N/A,"2,297 miles",1.0L,73PS,Manual,Petrol,"£10,800",N/A,Hatchback,Bristol Street Motors Vauxhall Knaresborough - See all 55 cars,Dealer locationKnaresborough
741,Alfa Romeo Tonale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
742,Vauxhall Corsa,2020 (20 reg),N/A,"36,928 miles",1.2L,100PS,Manual,Petrol,"£12,199",N/A,Hatchback,Perrys Huddersfield - See all 99 cars,Dealer locationHuddersfield
743,MINI Hatch,2009 (09 reg),3 owners,"115,000 miles",1.6L,120PS,Manual,Petrol,"£1,290",N/A,Hatchback,Harry's Car Sales - See all 334 cars,Dealer locationPeterborough
744,Honda Cr-V,2007 (07 reg),N/A,"172,000 miles",Manual,Diesel,4 owners,N/A,£990,N/A,SUV,,N/A
745,Ford Focus,2009 (09 reg),7 owners,"122,000 miles",1.8L,113BHP,Manual,Diesel,"£1,995",N/A,Hatchback,Autohub Northwest Ltd - See all 25 cars,Dealer locationManchester
746,Renault Clio,2011 (11 reg),N/A,"122,000 miles",1.2L,75PS,Manual,Petrol,"£1,499",N/A,Hatchback,BRADFORD TRADE CENTRE - See all 42 cars,Dealer locationBradford
747,Ford Focus,2008 (08 reg),N/A,"162,200 miles",1.8L,113BHP,Manual,Diesel,"£1,099",N/A,Hatchback,Ashby Budget Cars - See all 18 cars,Dealer locationSwadlincote
748,Peugeot 308,2011 (60 reg),Full service history,"76,000 miles",1.6L,110BHP,Manual,Diesel,"£2,195",N/A,Hatchback,RB Car Company Leeds Limited - See all 15 cars,Dealer locationLeeds
749,Nissan Qashqai,2010 (60 reg),N/A,"107,432 miles",1.5L,110PS,Manual,Diesel,"£1,999",Cat S,SUV,Central Station Motors - See all 11 cars,Dealer locationBurnley
750,Peugeot 107,2007 (07 reg),N/A,"87,500 miles",1.0L,68PS,Manual,Petrol,"£1,995",N/A,Hatchback,GSD Autos - See all 9 cars,Dealer locationBatley
751,Mercedes-Benz E Class,2013 (13 reg),Full service history,"86,940 miles",2.1L,201BHP,Automatic,Diesel,"£8,995",N/A,Saloon,SK Autobahn - See all 31 cars,Dealer locationBradford
752,Vauxhall Corsa,2010 (10 reg),5 owners,"63,147 miles",1.4L,99BHP,Manual,Petrol,"£2,650",N/A,Hatchback,DEALZONWHEELZ LTD - See all 10 cars,Dealer locationLeeds
753,Suzuki Swift,2009 (59 reg),3 owners,"105,000 miles",1.6L,123BHP,Manual,Petrol,"£2,675",N/A,Hatchback,RS Motors - See all 21 cars,Dealer locationBirmingham
754,Vauxhall Grandland X,2018 (67 reg),N/A,"38,404 miles",1.2L,130PS,Manual,Petrol,"£14,121",N/A,SUV,Bristol Street Motors Ford Crewe - See all 60 cars,Dealer locationCrewe
755,Audi Q2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
756,Vauxhall Viva,2019 (68 reg),N/A,"2,297 miles",1.0L,73PS,Manual,Petrol,"£10,800",N/A,Hatchback,Bristol Street Motors Vauxhall Knaresborough - See all 55 cars,Dealer locationKnaresborough
757,Vauxhall Insignia,2010 (60 reg),N/A,"80,544 miles",2.0L,130PS,Manual,Diesel,"£2,490",N/A,Hatchback,Autobahn Car Sales Ltd - See all 72 cars,Dealer locationPeterborough
758,Citroen C5,2011 (11 reg),N/A,"91,000 miles",2.0L,160PS,Automatic,Diesel,"£2,499",N/A,Saloon,Za-Motors - See all 81 cars,Dealer locationBurton On Trent
