,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location,plate,brand
14546,BMW 3 Series,2009,5,104000.0,2.0L,141.0,Manual,Diesel,3495.0,GC,Saloon,,,59,BMW
14547,Vauxhall Adam,2013,3,57450.0,1.4L,86.0,Manual,Petrol,5000.0,GC,Hatchback,Fairways Cars,Milton Keynes,13,Vauxhall
14548,Vauxhall Insignia,2014,2,79700.0,1.8L,138.0,Manual,Petrol,4900.0,GC,Hatchback,Fraz Motors ltd,Luton,14,Vauxhall
14550,Ford Fusion,2008,6,86000.0,1.6L,99.0,Automatic,Petrol,2495.0,Cat C,Hatchback,Wah Motors Ltd,Luton,58,Ford
14551,Mercedes-Benz C Class,2007,1,146574.0,2.1L,168.0,Manual,Diesel,2995.0,GC,Saloon,Car Point Luton Ltd T/A Car Point Bedfordshire,Bedford,57,Mercedes-Benz
14552,Vauxhall Adam,2014,3,44000.0,1.2L,69.0,Manual,Petrol,6450.0,GC,Hatchback,CAR CITY (LUTON) LIMITED,Luton,14,Vauxhall
14560,Honda Civic,2004,4,110700.0,1.6L,108.0,Manual,Petrol,1295.0,GC,Hatchback,Supreme Cars,Luton,04,Honda
14565,Nissan Qashqai,2013,2,120300.0,1.6L,115.0,Manual,Petrol,3999.0,GC,SUV,Auto Atlas Limited,Leighton Buzzard,62,Nissan
14568,Citroen DS3,2010,4,77000.0,1.6L,148.0,Manual,Petrol,2300.0,GC,Hatchback,,,10,Citroen
14573,Vauxhall Astra,2013,1,85000.0,1.6L,113.0,Manual,Petrol,3850.0,GC,Hatchback,Power Car Sales Ltd,Bedford,62,Vauxhall
14577,Ford Focus,2007,2,107000.0,1.8L,123.0,Manual,Petrol,2000.0,GC,Hatchback,Indus Motors Ltd,Milton Keynes,57,Ford
14578,Vauxhall Astra Gtc,2014,4,59400.0,1.4L,138.0,Manual,Petrol,5995.0,GC,Coupe,Horizon Prestige Ltd,Dunstable,64,Vauxhall
14579,Nissan Qashqai,2011,3,73069.0,1.6L,115.0,Manual,Petrol,4990.0,GC,SUV,AUTO MALL LIMITED,Luton,61,Nissan
14580,SEAT Leon,2011,3,95000.0,1.2L,104.0,Manual,Petrol,2990.0,GC,Hatchback,Individual Cars,Bedford,11,SEAT
14581,Ford Focus,2011,9,127600.0,1.6L,108.0,Manual,Diesel,1899.0,GC,Hatchback,Halton Cars,Luton,11,Ford
14582,Volkswagen Polo,2010,3,93456.0,1.2L,59.0,Manual,Petrol,3500.0,GC,Hatchback,Ideal Carz,Milton Keynes,10,Volkswagen
14588,Renault Clio,2006,2,88275.0,1.2L,75.0,Manual,Petrol,1550.0,GC,Hatchback,,,06,Renault
14591,Fiat 500,2010,3,42000.0,1.2L,69.0,Manual,Petrol,4250.0,GC,Hatchback,Power Car Sales Ltd,Bedford,10,Fiat
14592,Vauxhall Astra,2014,1,67000.0,1.4L,138.0,Manual,Petrol,5990.0,GC,Hatchback,Autosport Motors,Bedford,14,Vauxhall
14593,Volvo C30,2011,2,83000.0,1.6L,113.0,Manual,Diesel,4490.0,GC,Coupe,ARA Motors Limited,Bedford,61,Volvo
14594,Vauxhall Meriva,2011,1,93450.0,1.4L,99.0,Manual,Petrol,2400.0,GC,MPV,JK Cars,Leighton Buzzard,61,Vauxhall
14595,Ford C-Max,2011,5,88000.0,2.0L,138.0,Automatic,Diesel,3990.0,GC,MPV,United Cars Limited,Luton,11,Ford
14601,Ford C-Max,2008,6,104853.0,2.0L,143.0,Automatic,Petrol,1995.0,GC,MPV,Car Point Luton Ltd T/A Car Point Bedfordshire,Bedford,57,Ford
14602,Citroen C4 Picasso,2008,1,76000.0,2.0L,141.0,Automatic,Petrol,1995.0,GC,MPV,Car Point Luton Ltd T/A Car Point Bedfordshire,Bedford,08,Citroen
14607,SKODA Roomster,2007,3,130275.0,1.4L,85.0,Manual,Petrol,1990.0,GC,MPV,EURO MOTORZ LIMITED,Bedford,57,SKODA
14608,Volvo S60,2006,3,69201.0,2.4L,185.0,Automatic,Diesel,2495.0,GC,Saloon,Beadlow Motors,Shefford,06,Volvo
14609,Honda Cr-V,2006,4,129100.0,2.2L,138.0,Manual,Diesel,2250.0,GC,SUV,EMQ Kars,Leighton Buzzard,06,Honda
14615,Volvo S60,2011,1,154000.0,2.4L,202.0,Automatic,Diesel,2980.0,GC,Saloon,Gemen Motors,Luton,11,Volvo
14618,Vauxhall Astra,2016,2,115000.0,1.6L,134.0,Manual,Diesel,4980.0,GC,Hatchback,Gemen Motors,Luton,16,Vauxhall
14620,Honda Accord,2006,4,110252.0,2.2L,138.0,Manual,Diesel,1695.0,GC,Saloon,,,56,Honda
14621,Ford Focus,2012,3,124071.0,1.6L,123.0,Manual,Petrol,3590.0,GC,Hatchback,Woburn Cars Ltd,Milton Keynes,,Ford
14622,Honda Cr-V,2007,1,200000.0,2.2L,138.0,Manual,Diesel,1590.0,GC,SUV,Eden Motors,Luton,57,Honda
14624,Toyota Yaris,2008,2,95000.0,1.3L,85.0,Manual,Petrol,2499.0,GC,Hatchback,Hatters Car Sales (Luton) Ltd,Luton,58,Toyota
14630,Suzuki Swift,2014,4,76500.0,1.6L,134.0,Manual,Petrol,5790.0,GC,Hatchback,AJD Car Sales Limited,Bedford,64,Suzuki
14631,Nissan Micra,2006,4,58154.0,1.2L,79.0,Manual,Petrol,2000.0,GC,Hatchback,Ltn Motors Ltd,Luton,56,Nissan
14633,Vauxhall Corsa,2011,2,117809.0,1.2L,84.0,Manual,Petrol,2200.0,GC,Hatchback,Ideal Carz,Milton Keynes,61,Vauxhall
14634,Mitsubishi Mirage,2014,3,67641.0,1.0L,70.0,Manual,Petrol,3895.0,GC,Hatchback,Personal Automotive,Bedford,14,Mitsubishi
14636,Ford KA,2009,4,86000.0,1.2L,68.0,Manual,Petrol,2499.0,GC,Hatchback,Safe Cars,Bedford,09,Ford
14644,Vauxhall Corsa,2010,3,72913.0,1.2L,84.0,Manual,Petrol,2890.0,GC,Hatchback,Bedford Autopoint,Bedford,60,Vauxhall
14645,Toyota Yaris,2005,6,68921.0,1.3L,85.0,Manual,Petrol,1750.0,GC,Hatchback,Valid Cars,Dunstable,05,Toyota
14646,Fiat Punto,2012,3,91000.0,1.2L,69.0,Manual,Petrol,3000.0,GC,Hatchback,Indus Motors Ltd,Milton Keynes,,Fiat
14647,KIA RIO,2014,3,91000.0,1.25L,84.0,Manual,Petrol,3700.0,GC,Hatchback,Smart Choice Autos Limited,Luton,14,KIA
