,name,year,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location,plate,brand
25311,Honda Jazz,2005,66622.0,1.4L,82.0,Manual,Petrol,1245,GC,Hatchback,Repute Motors,Oldham,55,Honda
25314,Honda Civic,2002,112565.0,1.4L,89.0,Automatic,Petrol,650,GC,Hatchback,J.A Motors Ltd,Keighley,52,Honda
25315,Volkswagen Golf Plus,2007,118000.0,2.0L,138.0,Automatic,Diesel,1500,GC,Hatchback,AA Cars,Keighley,07,Volkswagen
25316,Toyota Auris,2008,115000.0,1.6L,124.0,Manual,Petrol,1895,GC,Hatchback,Maple Motor Group,Blackburn,08,Toyota
25318,Suzuki Splash,2009,76000.0,1.2L,85.0,Manual,Petrol,995,GC,MPV,Fircroft Motors,Sheffield,09,Suzuki
25319,Nissan Qashqai,2012,124000.0,1.5L,108.0,Manual,Diesel,2500,GC,SUV,RJCS Cars Ltd,Oldbury,,Nissan
25326,Renault Clio,2007,138061.0,1.4L,98.0,Manual,Petrol,850,GC,Hatchback,GENERAL MOTORS,Birmingham,56,Renault
25328,Toyota Avensis,2010,200133.0,2.0L,124.0,Manual,Diesel,990,Cat S,Saloon,OLIX MOTORS LIMITED,Nelson,60,Toyota
25329,Mazda3,2010,158000.0,1.6L,108.0,Manual,Diesel,999,GC,Hatchback,Maple Motor Group,Blackburn,10,Mazda3
25332,Vauxhall Corsa,2007,97600.0,1.2L,79.0,Manual,Petrol,1650,GC,Hatchback,Central Station Motors,Burnley,56,Vauxhall
25333,Citroen Berlingo,2004,117226.0,1.6L,107.0,Manual,Petrol,1145,GC,MPV,Audenshaw Motors,Manchester,,Citroen
25338,Vauxhall Corsa,2020,36928.0,1.2L,99.0,Manual,Petrol,12199,GC,Hatchback,Perrys Huddersfield,Huddersfield,20,Vauxhall
25340,Vauxhall Corsa,2007,100000.0,1.2L,79.0,Manual,Petrol,1390,GC,Hatchback,Joe's Cars Leeds,Leeds,07,Vauxhall
25342,Ford Fiesta,2011,110700.0,1.25L,59.0,Manual,Petrol,2499,GC,Hatchback,SHEFF CARS LTD,Sheffield,61,Ford
25344,Vauxhall Insignia,2013,114488.0,2.0L,138.0,Manual,Diesel,3150,GC,Hatchback,The One Stop Motor Shop,Blackburn,63,Vauxhall
25345,Vauxhall Corsa,2017,131500.0,1.0L,89.0,Manual,Petrol,2195,GC,Hatchback,Acorn Trade Cars,Sheffield,17,Vauxhall
25347,Ford Fiesta,2013,90000.0,1.5L,74.0,Manual,Diesel,2995,GC,Hatchback,Cleckheaton Motor Sales,Cleckheaton,18,Ford
25348,Suzuki Alto,2010,110500.0,1.0L,67.0,Manual,Petrol,1250,GC,Hatchback,Parkside Motor Store,Bolton,60,Suzuki
25349,Fiat 500,2010,102000.0,1.2L,69.0,Manual,Petrol,2450,GC,Hatchback,North Car Sales,Cheadle,10,Fiat
25354,Land Rover Range Rover Sport,2009,129000.0,2.7L,187.0,Automatic,Diesel,4995,GC,SUV,Cliffe Park Cars,Dronfield,09,Land
25355,Vauxhall Astra,2003,49000.0,1.6L,84.0,Manual,Petrol,989,Cat C,Estate,Fame Cars Ltd,Birmingham,52,Vauxhall
25357,Ford Galaxy,2008,141000.0,2.3L,159.0,Automatic,Petrol,950,GC,MPV,Gregory Garage,Ormskirk,08,Ford
25358,MG MG6,2012,77900.0,1.8L,158.0,Manual,Petrol,2500,GC,Hatchback,Spirit Trade Car Centre,Leigh,,MG
25362,Vauxhall Insignia,2013,200776.0,2.0L,161.0,Automatic,Diesel,1080,GC,Hatchback,J.A Motors Ltd,Keighley,63,Vauxhall
25369,Porsche Cayenne,2004,138000.0,3.2L,250.0,Automatic,Petrol,1750,GC,SUV,,,,Porsche
25371,Citroen C1,2011,86000.0,1.0L,67.0,Manual,Petrol,1990,GC,Hatchback,YORKSHIRE CAR SALES,Wakefield,60,Citroen
25372,Ford Fiesta,2009,109000.0,1.4L,67.0,Manual,Diesel,1699,GC,Hatchback,Za,Burton On Trent,09,Ford
25373,Peugeot 207,2006,85000.0,1.4L,90.0,Manual,Petrol,999,GC,Hatchback,HRM Motors,Birmingham,56,Peugeot
25374,Vauxhall Vectra,1998,114115.0,1.8L,113.0,Manual,Petrol,995,GC,Hatchback,TMV Cars,Burton On Trent,S ,Vauxhall
25381,SEAT Ibiza,2012,124000.0,1.2L,69.0,Manual,Petrol,2295,GC,Hatchback,Broadgate Motors,Bradford,,SEAT
25382,Toyota Auris,2009,134000.0,1.33L,100.0,Manual,Petrol,1250,GC,Hatchback,Parkside Motor Store,Bolton,09,Toyota
25383,Vauxhall Astra,2012,121224.0,1.7L,108.0,Manual,Diesel,2300,GC,Hatchback,Carmotion Blackburn,Blackburn,,Vauxhall
25385,Peugeot 308,2009,75000.0,1.6L,120.0,Manual,Petrol,1970,GC,Hatchback,Vision Motors Direct Ltd,St Helens,09,Peugeot
25386,Honda Civic,2004,159630.0,1.4L,89.0,Manual,Petrol,749,GC,Hatchback,GENERAL MOTORS,Birmingham,,Honda
25390,Vauxhall Corsa,2011,139000.0,1.4L,99.0,Manual,Petrol,999,Cat S,Hatchback,Gosha Cars,Huddersfield,11,Vauxhall
25398,MINI Hatch,2010,111000.0,1.6L,110.0,Manual,Diesel,2490,GC,Hatchback,A & S Motors,Walsall,60,MINI
25400,Ford Galaxy,2008,166000.0,2.0L,138.0,Manual,Diesel,1000,GC,MPV,Parkside Motor Store,Bolton,57,Ford
25402,Peugeot 307,2004,93000.0,1.6L,110.0,Automatic,Petrol,1995,GC,Hatchback,PX CARS LTD,Wakefield,,Peugeot
25403,MINI Hatch,2015,88000.0,1.5L,134.0,Manual,Petrol,6990,GC,Hatchback,George St Car Sales,Darwen,15,MINI
25404,Vauxhall Corsa,2011,93000.0,1.2L,84.0,Manual,Petrol,2250,Cat S,Hatchback,D3Kay Autos,Manchester,60,Vauxhall
25409,Vauxhall Astra Gtc,2012,80000.0,1.4L,118.0,Manual,Petrol,2500,GC,Coupe,Parkside Motor Store,Bolton,,Vauxhall
25410,BMW 5 Series,2012,90000.0,2.0L,181.0,Manual,Diesel,4995,GC,Saloon,Norwood Car Sales,Shipley,,BMW
25413,KIA RIO,2013,82000.0,1.25L,84.0,Manual,Petrol,2495,GC,Hatchback,PX Motors LTD,Wakefield,13,KIA
25414,Vauxhall Astra,2010,90407.0,1.6L,113.0,Manual,Petrol,2495,GC,Hatchback,UK MOTORS N LIMITED,Leicester,60,Vauxhall
25426,Toyota C-Hr,2020,14603.0,1.8L,121.0,Automatic,Petrol Hybrid,20975,GC,SUV,The Car Co,Bury,69,Toyota
25427,Vauxhall Corsa,2010,85000.0,1.2L,84.0,Manual,Petrol,1995,GC,Hatchback,Drivehub Ltd,Rochdale,10,Vauxhall
25428,Nissan Qashqai,2011,62000.0,1.5L,108.0,Manual,Diesel,3995,GC,SUV,Ghost Motors LTD,Cleckheaton,61,Nissan
25429,Ford Fiesta,2013,76000.0,1.0L,123.0,Manual,Petrol,5490,GC,Hatchback,Williams Motor Company Ltd,Crewe,62,Ford
25430,Ford Focus,2011,87000.0,2.0L,138.0,Manual,Diesel,3800,GC,Hatchback,SMS Motors,Sheffield,11,Ford
25431,Nissan Qashqai,2008,106000.0,1.5L,105.0,Manual,Diesel,1950,GC,Hatchback,Lane Autos,Bolton,08,Nissan
25432,Peugeot 407 SW,2004,58000.0,2.0L,136.0,Manual,Diesel,1595,GC,Estate,RUTLAND MOTOR COMPANY,Sheffield,,Peugeot
25437,Toyota Avensis,2006,129650.0,2.2L,148.0,Manual,Diesel,850,GC,Hatchback,Audenshaw Motors,Manchester,56,Toyota
25438,Fiat 500,2010,102000.0,1.2L,69.0,Manual,Petrol,1250,Cat N,Hatchback,QC Trade Centre,Rotherham,10,Fiat
25439,Peugeot 207,2008,138000.0,1.4L,68.0,Manual,Diesel,895,GC,Hatchback,Parkside Motor Store,Bolton,58,Peugeot
25441,SEAT Ibiza,2011,60435.0,1.4L,84.0,Manual,Petrol,2299,Cat S,Hatchback,HCC,Halifax,11,SEAT
25442,Volkswagen Golf,2006,49000.0,2.0L,138.0,Manual,Diesel,3690,GC,Hatchback,N K Motors,Blackburn,06,Volkswagen
25443,Vauxhall Vectra,2008,98434.0,1.8L,138.0,Manual,Petrol,995,GC,Hatchback,Burton Cheap Cars,Burton On Trent,58,Vauxhall
25444,Volkswagen Polo,2003,75200.0,1.4L,75.0,Manual,Petrol,995,GC,Hatchback,Batley Motors Limited,Batley,52,Volkswagen
25446,Ford KA,2008,70321.0,1.3L,69.0,Manual,Petrol,700,GC,Hatchback,GENERAL MOTORS,Birmingham,08,Ford
25451,Vauxhall Insignia,2014,208000.0,2.0L,138.0,Manual,Diesel,1250,Cat D,Hatchback,HAQUES UNIQUE AUTOMOTIVE LTD,Bradford,63,Vauxhall
25452,Vauxhall Corsa,2011,100706.0,1.3L,74.0,Manual,Diesel,2499,GC,Hatchback,PC Dealership,Burton On Trent,61,Vauxhall
25453,Vauxhall Corsa,2013,125938.0,1.3L,94.0,Manual,Diesel,1695,GC,Hatchback,Burton Cheap Cars,Burton On Trent,13,Vauxhall
25454,MINI Hatch,2006,81000.0,1.6L,118.0,Manual,Petrol,1995,GC,Hatchback,Select Motor Company,Stockport,56,MINI
25455,SKODA Rapid,2015,211123.0,1.6L,104.0,Manual,Diesel,2000,GC,Hatchback,Lex Motor Ltd,Rochdale,15,SKODA
25457,Ford Fiesta,2008,96000.0,1.6L,99.0,Manual,Petrol,1295,GC,Hatchback,KP Motors,Sheffield,57,Ford
25464,Nissan Qashqai,2018,40906.0,1.5L,108.0,Manual,Diesel,14890,GC,SUV,Carsa Bradford,Bradford,68,Nissan
25465,Mazda3,2016,99500.0,2.2L,148.0,Manual,Diesel,2495,Cat C,Hatchback,PCS Piccadilly Car Sales LTD,Wakefield,16,Mazda3
